Family;ScientificName;Author;Collector;Longitude;Latitude;Elevation;Date;Location;Herbarium;ID;wfoMeta_scientificName;wfoMeta_family;wfoMeta_majorGroup;wfoMeta_wfoID;wfoMeta_rank;wfoMeta_status;wfoMeta_author;gbifOccurrenceCheck
Scrophulariaceae;Torenia violacea;(Azaola ex Blanco) Pennell;H.Balslev 10142;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;283;Torenia violacea;Linderniaceae;Angiosperm;wfo-0001140273;species;Accepted;(Azaola ex Blanco) Pennell;TRUE
Smilacaceae;Smilax luzonensis;C.Presl;H.Balslev 10201;102,385833333333;12,0422222222222;0;2022-07-10;perimeter road along north-eastern side of island. Plantation area with mostly coconut plantation.;AAU;284;Smilax luzonensis;Smilacaceae;Angiosperm;wfo-0000742960;species;Accepted;C.Presl;TRUE
Smilacaceae;Smilax luzonensis;C.Presl;H.Balslev 10255;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;285;Smilax luzonensis;Smilacaceae;Angiosperm;wfo-0000742960;species;Accepted;C.Presl;TRUE
Smilacaceae;Smilax paniculata;M. Martens & Galeotti;H.Balslev 10189;102,346388888889;12,1030555555556;36;2022-07-09;Khlong Nonsi waterfall along northern perimeter road. Wet rainforest.;AAU;286;Smilax paniculata;Smilacaceae;Angiosperm;wfo-0000770344;species;Accepted;(Gagnep.) P.Li & C.X.Fu;FALSE
Sonneratiaceae;Sonneratia ovata;Backer;H.Balslev 10205;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;287;Sonneratia ovata;Lythraceae;Angiosperm;wfo-0001223782;species;Accepted;Backer;TRUE
Sterculiaceae;Helicteres hirsuta;Lour.;H.Balslev 10107;102,294166666667;12,0341666666667;35;2022-07-04;western perimeter road, side road around Ban Kai Bae. Road cuts in humid tropical forest.;AAU;288;Helicteres hirsuta;Malvaceae;Angiosperm;wfo-0000718111;species;Accepted;Lour.;TRUE
Sterculiaceae;Pterospermum littorale;Craib;H.Balslev 10721;102,433611111111;11,9538888888889;1;2022-10-22;Memorial of the battle of Koh Chang. South east corner of island. Tropical forest, beach vegetation.;AAU;289;Pterospermum littorale;Malvaceae;Angiosperm;wfo-0000475841;species;Accepted;Craib;TRUE
Strychnaceae;Spigelia anthelmia;L.;H.Balslev 10737;102,429166666667;11,9613888888889;40;2022-10-22;road to Memorial of the battle of Koh Chang. South east corner of island. Tropical wet forest.;AAU;290;Spigelia anthelmia;Loganiaceae;Angiosperm;wfo-0000503119;species;Accepted;L.;TRUE
Taccaceae;Tacca palmata;Bl;H.Balslev 10659;102,308611111111;12,0619444444444;30;2022-10-20;Trail to the south from Khlong Phlu ranger station of Koh Chang N.P. Tropical rainforest.;AAU;291;Tacca palmata;Dioscoreaceae;Angiosperm;wfo-0000567900;species;Accepted;Blume;TRUE
Theaceae;Eurya acuminata;Dc.;H.Balslev 10264;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;292;Eurya acuminata;Pentaphylacaceae;Angiosperm;wfo-0000682913;species;Accepted;DC.;TRUE
Thymelaeaceae;Wikstroemia polyantha;Merr.;H.Balslev 10690;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;293;Wikstroemia polyantha;Thymelaeaceae;Angiosperm;wfo-0001282457;species;Accepted;Merr.;TRUE
Thymelaeaceae;Wikstroemia polyantha;Merr.;H.Balslev 10695;102,422500000000;11,9647222222222;10;2022-10-21;ek Bae Community Forest. Peninsula in SE corner of island. Near beach.;AAU;294;Wikstroemia polyantha;Thymelaeaceae;Angiosperm;wfo-0001282457;species;Accepted;Merr.;TRUE
Tiliaceae;Triumfetta rhomboidea;Jacq.;H.Balslev 10733;102,429166666667;11,9613888888889;40;2022-10-22;road to Memorial of the battle of Koh Chang. South east corner of island. Tropical wet forest.;AAU;295;Triumfetta rhomboidea;Malvaceae;Angiosperm;wfo-0000457668;species;Accepted;Jacq.;TRUE
Turneraceae;Turnera ulmifolia;L.;H.Balslev 10734;102,429166666667;11,9613888888889;40;2022-10-22;road to Memorial of the battle of Koh Chang. South east corner of island. Tropical wet forest.;AAU;296;Turnera ulmifolia;Passifloraceae;Angiosperm;wfo-0000457708;species;Accepted;L.;TRUE
Ulmaceae;Trema angustifolia;Bl.;H.Balslev 10229;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;AAU;297;Trema angustifolium;Cannabaceae;Angiosperm;wfo-0001230828;species;Accepted;(Planch.) Blume;TRUE
Verbenaceae;Stachytarpheta jamaicensis;(L.) Vahl;H.Balslev 10705;102,422500000000;11,9647222222222;10;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island. Near beach.;AAU;298;Stachytarpheta jamaicensis;Verbenaceae;Angiosperm;wfo-0000314894;species;Accepted;(L.) Vahl;TRUE
Vitaceae;Causonis japonica;(Thunb.) Raf.;H.Balslev 10251;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;299;Causonis japonica;Vitaceae;Angiosperm;wfo-0000591233;species;Unchecked;Raf.;TRUE
Vitaceae;Cissus heyneana;Steud.;H.Balslev 10105;102,294166666667;12,0341666666667;35;2022-07-04;western perimeter road, side road around Ban Kai Bae. Road cuts in humid tropical forest.;AAU;300;Cissus heyneana;Vitaceae;Angiosperm;wfo-0000606382;species;Accepted;Planch.;TRUE
Vitaceae;Tetrastigma;(Miq.) Planch.;H.Balslev 10663;102,308611111111;12,0619444444444;30;2022-10-20;Trail to the south from Khlong Phlu ranger station of Koh Chang N.P. Tropical rainforest.;AAU;301;Tetrastigma;Vitaceae;Angiosperm;wfo-4000037999;genus;Accepted;Planch.;TRUE
Zingiberaceae;Alpinia conchigera;Griff.;J.F.Maxwell 74-412;NA;NA;NA;1974-05-08;Trat. Koh Chang Island.;AAU;302;Alpinia conchigera;Zingiberaceae;Angiosperm;wfo-0000338416;species;Accepted;Griff.;TRUE
Zingiberaceae;Alpinia conchigera;Griff.;R.Geesink 6637;NA;NA;0;1974-05-08;Aw Ong Kang and Salak Koh. Cleared forest in valley. In forest edge.;AAU;303;Alpinia conchigera;Zingiberaceae;Angiosperm;wfo-0000338416;species;Accepted;Griff.;TRUE
Zingiberaceae;Alpinia oxymitra;K.Schum.;J.F.Maxwell 73-347;NA;NA;NA;1973-08-03;Koh Chang island.;AAU;304;Alpinia oxymitra;Zingiberaceae;Angiosperm;wfo-0000338662;species;Accepted;K.Schum.;TRUE
Zingiberaceae;Amomum schmidtii;(K.Schum.) Gagnep.;J.F.Maxwell 74-408;NA;NA;NA;1974-05-07;Koh Chang Island.;AAU;305;Wurfbainia schmidtii;Zingiberaceae;Angiosperm;wfo-0001426469;species;Accepted;(K.Schum.) Škorničk. & A.D.Poulsen;TRUE
Zingiberaceae;Boesenbergia rotunda;(L.) Mansf.;H.Balslev 10148;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;306;Boesenbergia rotunda;Zingiberaceae;Angiosperm;wfo-0000341663;species;Accepted;(L.) Mansf.;TRUE
Zingiberaceae;Boesenbergia rotunda;(L.) Mansf.;J.F.Maxwell 73-309;NA;NA;NA;1973-08-02;Koh Chang Island.;AAU;307;Boesenbergia rotunda;Zingiberaceae;Angiosperm;wfo-0000341663;species;Accepted;(L.) Mansf.;TRUE
Zingiberaceae;Curcuma zanthorrhiza;Roxb.;J.F.Maxwell 74-417;NA;NA;NA;1974-05-08;Trat. Koh Chang Island.;AAU;308;Curcuma zanthorrhiza;Zingiberaceae;Angiosperm;wfo-0000366175;species;Accepted;Roxb.;TRUE
Zingiberaceae;Curcuma zedoaria;Rosc.;R.Geesink 6624;NA;NA;50;1974-05-08;Aw Ong Kang and Salak Koh. Evergreen forest on granitic hills.;AAU;309;Curcuma zedoaria;Zingiberaceae;Angiosperm;wfo-0000366201;species;Accepted;(Christm.) Roscoe;TRUE
Zingiberaceae;Globba geoffrayi;Gagnep.;H.Balslev 10098;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;310;Globba geoffrayi;Zingiberaceae;Angiosperm;wfo-0000430380;species;Accepted;Gagnep.;TRUE
Zingiberaceae;Globba geoffrayi;Gagnep.;J.F.Maxwell 73-318;NA;NA;NA;1973-08-02;On rocks, wet shaded forest.;AAU;311;Globba geoffrayi;Zingiberaceae;Angiosperm;wfo-0000430380;species;Accepted;Gagnep.;TRUE
Zingiberaceae;Globba thorelii;Gagnep.;H.Balslev 10100;102,310833333333;12,0625000000000;50;2022-07-04;Trat. Koh Chang island, Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;312;Globba thorelii;Zingiberaceae;Angiosperm;wfo-0000430698;species;Accepted;Gagnep.;TRUE
Zingiberaceae;Zingiber zerumbet;Sm.;J.F.Maxwell 74-407;NA;NA;NA;1974-05-07;Koh Chang Island.;AAU;313;Zingiber zerumbet;Zingiberaceae;Angiosperm;wfo-0000618238;species;Accepted;(L.) Sm.;TRUE
NA;Borreria alata;(Aubl.) Dc.;G.Murata 17542;NA;NA;NA;1973-08-03;NA;BKF;314;Spermacoce alata;Rubiaceae;Angiosperm;wfo-0000312226;species;Accepted;Aubl.;TRUE
NA;NA;NA;G.Murata 17434;NA;NA;NA;1973-08-02;IN EVERGREEN FORESST, NEAR SEA LEVEL.;BKF;315;NA;NA;NA;NA;NA;NA;;FALSE
NA;Borreria alata;(Aubl.) Dc.;G.Murata 17545;NA;NA;NA;1973-08-02;NA;BKF;316;Spermacoce alata;Rubiaceae;Angiosperm;wfo-0000312226;species;Accepted;Aubl.;TRUE
NA;Borreria setidens;(Miq.) Bold.;G.Murata 17536;NA;NA;NA;1973-08-03;NA;BKF;317;Spermacoce setidens;Rubiaceae;Angiosperm;wfo-0000312741;species;Accepted;Boerl.;FALSE
Adiantaceae;Adiantum;NA;K.Chayamarit 2773;102,184600000000;12,0337000000000;80;2001-03-22;SCATTERED ALONG STREAM.;BKF;318;Adiantum;Pteridaceae;Pteridophytes;wfo-4000000695;genus;Accepted;L.;TRUE
Adiantaceae;Cheilenthes tenuifolia;Bw.;G.Murata 17492;NA;NA;NA;1973-08-02;IN EVERGREEN FOREST, HEAR SEA LEVEL.;BKF;319;Hemionitis tenuifolia;Pteridaceae;Pteridophytes;wfo-0001422415;species;Accepted;(Burm.f.) Christenh.;FALSE
Adiantaceae;Taenitis blechnoides;(Willd.) Sw.;C.Niyomdham 3203;NA;NA;NA;1992-09-04;TERRESTRIAL FERN.;BKF;320;Taenitis blechnoides;Pteridaceae;Pteridophytes;wfo-0001117744;species;Accepted;(Willd.) Sw.;TRUE
Adiantaceae;Taenitis blichnoides;(Willd) Sw.;G.Murata 17494;NA;NA;NA;1973-08-02;IN EVERGREEN FOREST, NEAR SEA LEVEL.;BKF;321;Taenitis blechnoides;Pteridaceae;Pteridophytes;wfo-0001117744;species;Accepted;(Willd.) Sw.;TRUE
Adiantaceae;Taenitis;NA;C.F.vanBeusekom 3168;102,400000000000;12,0000000000000;NA;1970-03-11;DRY EVERGREEN FOREST AND SECONDARY GROWTH. GREGARIOUS. SPORANGIA DARK PURPLISH BROWN.;BKF;322;Taenitis;Pteridaceae;Pteridophytes;wfo-4000037440;genus;Accepted;Willd. ex Schkuhr;TRUE
Adiantaceae;Taenitis;NA;R.Geesink 6660;102,400000000000;12,0000000000000;30;1974-05-10;EVERGREEN FOREST ON BASALT HILL, OPEN DRY PLACE. TERRESTRIAL FERN IN UNDERSTORE. RHIZONE BROWN HAIRY RACHIS BROWN SHINING. SORI DARK REDBROWN.;BKF;323;Taenitis;Pteridaceae;Pteridophytes;wfo-4000037440;genus;Accepted;Willd. ex Schkuhr;TRUE
Anacardiaceae;Bouea oppositifolia;NA;R.Geesink 6598;102,400000000000;12,0000000000000;30;1974-05-07;"LAT. 12 DEGREE NORTH. LON. 102 DEGREE 40 LIPDA EAST. EVERGREEN FOREST ON GRANITC HILL. TREE, 15 M. GIRTH 15 CM. FWS. YELLOW, ACID BITER TASTE FLESH YELLOW, FIBROUS; SEED VIOLET IN CROSSSECTION. EXPEDITION OF THE RIJKSHERBARIUM, LEIDEN, NETHER";BKF;324;Bouea oppositifolia;Anacardiaceae;Angiosperm;wfo-0000569874;species;Accepted;(Roxb.) Adelb.;FALSE
Ancistrocladaceae;Ancistrocladus tectorius;(Lour.) Merr;V.Chamchumroon 1155;NA;NA;100;2001-07-03;"CLIMBER; IN SECONDARY EVERGREEN FOREST.";BKF;325;Ancistrocladus tectorius;Ancistrocladaceae;Angiosperm;wfo-0000970482;species;Accepted;(Lour.) Merr.;TRUE
Annonaceae;NA;NA;C.F.vanBeusekom 3169;102,400000000000;12,0000000000000;NA;1970-03-11;NA;BKF;326;NA;NA;NA;NA;NA;NA;;FALSE
Annonaceae;Artabotrys;NA;T.Wongprasert 28;NA;NA;20;2001-03-24;"CLIMBER ON TREE UPTO CA. 10 M. HIGH; UNCOMMON BY THE EDGE OF SEASONAL RAIN FOREST; OVERLEAVES GLOSSY; FR. DULL GREEN.";BKF;327;Artabotrys;Annonaceae;Angiosperm;wfo-4000003139;genus;Accepted;R.Br.;TRUE
Annonaceae;Artabotrys;NA;T.Wongprasert 28;NA;NA;20;2001-03-24;"CLIMBER ON TREE UPTO CA. 10 M. HIGH; UNCOMMON BY THE EAGE OF SEASONAL RAIN FOREST; OVERLEAVES GLOSSY; FR. DULL GREEN.";BKF;328;Artabotrys;Annonaceae;Angiosperm;wfo-4000003139;genus;Accepted;R.Br.;TRUE
Annonaceae;Uvaria grandiflora;Flava Teijsm & Binn.;C.Niyomdham 3250;NA;NA;NA;1992-09-05;"SCANDENT SHRUB; FLOWERS RED.";BKF;329;Uvaria grandiflora;Annonaceae;Angiosperm;wfo-0000416394;species;Accepted;Roxb. ex Hornem.;TRUE
Apocynaceae;Parameria;NA;T.Wongprasert 20;NA;NA;20;2001-03-24;"CLIMBER COMMON BY THE STREAM IN MIXED DECIDUOUS FOREST; LVS. CHARTACEOUS; ALL PARTS C MILKY EXUDATE; FL. CREAMY WHITE; FRAGRANT.";BKF;330;Urceola;Apocynaceae;Angiosperm;wfo-4000039816;genus;Accepted;Roxb.;TRUE
Apocynaceae;Parameria;NA;T.Wongprasert 20;NA;NA;20;2001-03-24;"CLIMBER COMMON BY THE STREAM IN MIXED DECIDUOUS FOREST; LVS. CHARTACEOUS; ALL PARTS C MILTY EXUDATE; FL. CREAMY WHITE; FRAGRANT.";BKF;331;Urceola;Apocynaceae;Angiosperm;wfo-4000039816;genus;Accepted;Roxb.;TRUE
Apocynaceae;Tabernaemontana peduncularis;Wall.;T.Wongprasert 16;NA;NA;50;2001-03-24;"SHRUB UPTO CA. 1. M. HIGH; COMMON IN SEASONAL RAIN FOREST BY THE STREAM; FL. WHITE";BKF;332;Tabernaemontana peduncularis;Apocynaceae;Angiosperm;wfo-0000320049;species;Accepted;Wall.;TRUE
Apocynaceae;Tabernaemontana peduncularis;Wall.;T.Wongprasert 16;NA;NA;50;2001-03-24;"SHRUB UPTO CA. 1. M. HIGH; COMMON IN SEASONAL RAIN FOREST BY THE STREAM; FL. WHITE";BKF;333;Tabernaemontana peduncularis;Apocynaceae;Angiosperm;wfo-0000320049;species;Accepted;Wall.;TRUE
Apocynaceae;Tabernaemontana;NA;K.Chayamarit 2903;102,183500000000;12,0255000000000;30;2001-03-24;SHRUB C. 3 M TALL. FLOWER WHITISH. FRUIT ORANGE- REDDISH.;BKF;334;Tabernaemontana;Apocynaceae;Angiosperm;wfo-4000037395;genus;Accepted;L.;TRUE
Apocynaceae;Tabernaemontana;NA;K.Chayamarit 2903;102,183500000000;12,0255000000000;30;2001-03-24;SHRUB C. 3 M TALL. FLOWER WHITISH. FRUIT ORANGE- REDDISH.;BKF;335;Tabernaemontana;Apocynaceae;Angiosperm;wfo-4000037395;genus;Accepted;L.;TRUE
Apocynaceae;Willughbeia edulis;Roxb.;B.Sangkhachand 368;NA;NA;NA;1955-03-16;LIANE, COVERED TREES IN EVERGREEN FOREST. FLOWERS YELLOWISH, SCENTED.;BKF;336;Willughbeia edulis;Apocynaceae;Angiosperm;wfo-0000334372;species;Accepted;Roxb.;TRUE
Araceae;Arisaema;NA;R.Geesink 6656;102,400000000000;12,0000000000000;30;1974-05-10;LOC. KOH MAI SEE, 5 KM S. OF KOH CHANF- EVERGREEN FOREST ON BASALT HILL, OPEN DRY PLACE.;BKF;337;Arisaema;Araceae;Angiosperm;wfo-4000003046;genus;Accepted;Mart.;TRUE
Araceae;Pseudodracontinm lacourii;NA;T.Smitinand 5646;NA;NA;5;1959-04-03;TUBEROUS HERB, COMMON ON ROCKS BY STREAM. FLOWERS WHITE. SPATHE GREENISH. STEM PINKISH.;BKF;338;Amorphophallus lacourii;Araceae;Angiosperm;wfo-0000964481;species;Accepted;Linden & André;TRUE
Araceae;Pseudodracontium;NA;K.Chayamarit 2792;102,184600000000;12,0337000000000;80;2001-03-22;HERB SCATTERED NEAR ROCK. SPATHE PALE GREENISH. SPADIX YELLOWISH.;BKF;339;Amorphophallus;Araceae;Angiosperm;wfo-4000001656;genus;Accepted;Blume ex Decne.;TRUE
Araceae;Pseudodracontium;NA;K.Chayamarit 2792;102,184600000000;12,0337000000000;80;2001-03-22;HERB SCATTERED NEAR ROCK. SPATHE PALE GREENISH. SPADIX YELLOWISH.;BKF;340;Amorphophallus;Araceae;Angiosperm;wfo-4000001656;genus;Accepted;Blume ex Decne.;TRUE
Araceae;Pseudodracontium;NA;K.Chayamarit 2792;102,184600000000;12,0337000000000;80;2001-03-22;HERB SCATTERED NEAR ROCK. SPATHE PALE GREENISH. SPADIX YELLOWISH.;BKF;341;Amorphophallus;Araceae;Angiosperm;wfo-4000001656;genus;Accepted;Blume ex Decne.;TRUE
Asclepiadaceae;Dischidia hirsuta;NA;B.Sangkhachand 387;NA;NA;NA;1955-03-27;CLIMBER, COMMON IN EVERGREEN FOREST, COVERED TREES. FLOWERS RED.;BKF;342;Dischidia hirsuta;Apocynaceae;Angiosperm;wfo-0000651671;species;Accepted;(Blume) Decne.;TRUE
Asclepiadaceae;Dischidia rafflesiana;Wall.;C.F.vanBeusekom 3153;102,400000000000;12,0000000000000;NA;1970-03-10;SANDY BEACH. CLIMBER IN LOW SHRUBS OR DEAD WOOD ALONG BEACH. FLS. GREENISH.;BKF;343;Dischidia major;Apocynaceae;Angiosperm;wfo-0000651699;species;Accepted;(Vahl) Merr.;TRUE
Asclepiadaceae;Dischidia;NA;K.Chayamarit 2754;102,175400000000;12,0705000000000;100;2001-03-22;FLOWER REDDISH.;BKF;344;Dischidia;Apocynaceae;Angiosperm;wfo-4000012122;genus;Accepted;R.Br.;TRUE
Asclepiadaceae;Dischidia;NA;K.Chayamarit 2754;102,175400000000;12,0705000000000;100;2001-03-22;FLOWER REDDISH.;BKF;345;Dischidia;Apocynaceae;Angiosperm;wfo-4000012122;genus;Accepted;R.Br.;TRUE
Asclepiadaceae;Hoya parasitica;NA;T.Smitinand 2220;NA;NA;5;1955-02-19;EPIPHYTIC PLANT, COMMON ON TREE BY SEA. FLOWERS CREAM COLOUR, SCENTED.;BKF;346;Hoya parasitica;Apocynaceae;Angiosperm;wfo-0000725442;species;Unchecked;Wall. ex Traill;TRUE
Asclepiadaceae;Streptocaulon juventas;NA;R.Geesink 6252;102,100000000000;12,2000000000000;30;1973-08-03;HILL EVERGREEN FOREST ON GRANITE STONE. TWINER NEAR RIVER, OLD TWIGS BROWN. COROLLA GREEN OUTSIDE, INSIDE PURPLE RED. EXPEDITION OF THE RIJKSHERBARIUM, LEIDEN, NETHERLANDS, AND THE FOREST HERBARIUM, BANGKOK, THAILAND, SPONSORED BY NUFFIC, NETHERL;BKF;347;Streptocaulon juventas;Apocynaceae;Angiosperm;wfo-0001104390;species;Accepted;(Lour.) Merr.;TRUE
Asclepiadaceae;Tylophora indica;NA;R.Geesink 6283;102,100000000000;12,2000000000000;0;1973-08-03;ALONG BEACH. SHRUBBY ZONE JUST BEHIND PES- CAPRAE ZONE. HERBACEOUS CLIMBER. COROLLA YELLOWISH GREEN.;BKF;348;Vincetoxicum indicum;Apocynaceae;Angiosperm;wfo-0001424572;species;Accepted;(Burm.f.) Mabb.;TRUE
Begoniaceae;Begonia;NA;R.Geesink 6275;102,100000000000;12,2000000000000;NA;1973-08-03;EVERGREEN FOREST. EPILITHIC. NERVES ON UNDERSURFACE OF LEAVES PURPLE RED. COROLLA WHITE. FR. WITH 3 UNEQUAL WINGS, THESE RED WHERE CONNECTED WITH FRUIT. COLOURSLIDE IN L. EXPEDITION OF THE RIJKSHERBARIUM, LEIDEN, NETHERLANDS, AND THE FOREST HERBA;BKF;349;Begonia;Begoniaceae;Angiosperm;wfo-4000004308;genus;Accepted;L.;TRUE
Begoniaceae;Begonia;NA;C.Niyomdham 3220;NA;NA;NA;1992-09-04;"HERB, FLOWERS WHITE; FRUIT PINK.";BKF;350;Begonia;Begoniaceae;Angiosperm;wfo-4000004308;genus;Accepted;L.;TRUE
Begoniaceae;Begonia;NA;C.Niyomdham 3220;NA;NA;NA;1992-09-04;"HERB, FLOWERS WHITE; FRUIT PINK.";BKF;351;Begonia;Begoniaceae;Angiosperm;wfo-4000004308;genus;Accepted;L.;TRUE
Blechnaceae;Blechnum orientale;Linn.;C.F.vanBeusekom 3181;102,400000000000;12,0000000000000;NA;1970-03-11;DRY EVERGREEN FOREST AND SECONDARY GROWTH. BETWEEN STONES IN STREAMBED. BIG OLD RHIZOME.;BKF;352;Blechnum orientale;Blechnaceae;Pteridophytes;wfo-0001107240;species;Accepted;L.;TRUE
Blechnaceae;Blechnum;NA;K.Chayamarit 2831;102,185000000000;12,0356000000000;100;2001-03-23;FERN SCATTERED ON ROCK.;BKF;353;Blechnum;Blechnaceae;Pteridophytes;wfo-4000004744;genus;Accepted;L.;TRUE
Blechnaceae;Blechnum;NA;K.Chayamarit 2831;102,185000000000;12,0356000000000;100;2001-03-23;FERN SCATTERED ON ROCK.;BKF;354;Blechnum;Blechnaceae;Pteridophytes;wfo-4000004744;genus;Accepted;L.;TRUE
Celastraceae;Hippocratea;NA;C.F.vanBeusekom 3177;102,400000000000;12,0000000000000;NA;1970-03-11;DRY EVERGREEN FOREST AND SECONDARY ROWTH. WOODY CLIMBER IN TREE. FWS GREEN. EXPEDITION OF THE RIJKSHERBARIUM, LEIDEN, NETHERLANDS, AND THE FOREST HERBARIUM, BANGKOK, THAILAND, SPONSORED BY DITH, NETHERLANDS, AND THE THAI GOVERNMENT.;BKF;355;Hippocratea;Celastraceae;Angiosperm;wfo-4000017959;genus;Accepted;L.;TRUE
Chrysobalanaceae;Parinari anamense;Hance.;B.Sangkhachand 329;NA;NA;20;1955-02-19;TREE 10 M TALL, 70 CM GIRTH. FLOWERS WHITE, SCENTED. BARK FERROWED, INNERBARK PINK.;BKF;356;Parinari anamensis;Chrysobalanaceae;Angiosperm;wfo-0000817702;species;Accepted;Hance;TRUE
Combretaceae;Lumnitzera racemosa;NA;R.Geesink 6286;102,100000000000;12,2000000000000;0;1973-08-03;MANGROVE THICKET. TREELET UP TO 4 M. COROLLA WHITE.;BKF;357;Lumnitzera racemosa;Combretaceae;Angiosperm;wfo-0000358860;species;Accepted;Willd.;TRUE
Commelinaceae;Polia;NA;C.Niyomdham 3275;NA;NA;NA;1992-09-07;HERB, FLOWERS WHITE.;BKF;358;Pollia;Commelinaceae;Angiosperm;wfo-4000030657;genus;Accepted;Thunb.;TRUE
Compositae;Vernonia cinerea;(L.) Less;G.Murata 17537;NA;NA;NA;1973-08-03;ON SANDY COAST, FLS. PURPLE.;BKF;359;Cyanthillium cinereum;Asteraceae;Angiosperm;wfo-0000051035;species;Accepted;(L.) H.Rob.;TRUE
Connaraceae;Connarus semidecandrus;Jack;L.Vanpruk 961;NA;NA;0;NA;SHRUB- DATE: MAT 1920;BKF;360;Connarus semidecandrus;Connaraceae;Angiosperm;wfo-0000618259;species;Accepted;Jack;TRUE
Convolvulaceae;Argyreia mollis;(Burm.F.) Choisy;G.Staples 262;NA;NA;NA;1985-11-07;"WOODY CLIMBER TO 30 M IN TREES ALONG STREAM, COMMON; COROLLA CAMPANULATE, LAVENDER LIMB, DARKER THROAT.";BKF;361;Argyreia mollis;Convolvulaceae;Angiosperm;wfo-0001299161;species;Accepted;(Burm.f.) Choisy;TRUE
Convolvulaceae;Argyreia;NA;G.Staples 263;NA;NA;NA;1985-11-07;"WOODY CLIMBER TO 4 M TALL ON SAPLING; SAP MILKY; LEAVES SILVERY SERICEOUS; SEPALS ELLIPTIC- OVATE; COROLLA TAPERING FUNNELFORM, PINKISH, THROAT DARKER; FRUITS IMMATURE, GLOBOSE.";BKF;362;Argyreia;Convolvulaceae;Angiosperm;wfo-4000003001;genus;Accepted;Lour.;TRUE
Convolvulaceae;Erycibe citriniflora;Griff;S.Thavorn 14;NA;NA;100;1955-02-21;à¡ O' µOA» èO'' Oº aºEOà¢ OAÇ ' I¡ EOàEÅxI AO¡ ÅOè1 EIA;BKF;363;Erycibe citriniflora;Convolvulaceae;Angiosperm;wfo-0000156423;species;Accepted;Griff.;TRUE
Convolvulaceae;Ipomoea mauritiana;Jacq;R.Geesink 6282;102,100000000000;12,2000000000000;NA;1973-08-03;ALONG BEACH. SHRUBBY ZONE JUST BEHIND PES- CAPRAE ZONE. COMMON. COROLLA WHITISH OUTSIDE, INSIDE DARK VIOLET.;BKF;364;Ipomoea mauritiana;Convolvulaceae;Angiosperm;wfo-0001298779;species;Accepted;Jacq.;TRUE
Convolvulaceae;Jacquemontia paniculata;(Burm.F) Hall.F;G.Staples 264;NA;NA;NA;1985-11-07;"HERBACEOUS TWINER ON A STEEP ROCK FACE, LESS THAN 100 M FROM SEA; FLS. PARTIALLY OPEN AT 2:30 PM; COROLLA FUNNELFORM, LIMB LOBED, PALE LILAC, TUBE WHITE; ANTHERS AND PISTIL WHITE, INCLUDED.";BKF;365;Jacquemontia paniculata;Convolvulaceae;Angiosperm;wfo-0001298709;species;Accepted;Hallier f.;TRUE
Cyperaceae;Cyperus compressus;Linn.;G.Murata 17529;NA;NA;NA;1973-08-03;ON SANDY COAST.;BKF;366;Cyperus compressus;Cyperaceae;Angiosperm;wfo-0000369779;species;Accepted;L.;TRUE
Cyperaceae;Cyperus distans;Linn. F.;G.Murata 17531;NA;NA;NA;1973-08-03;ON SANDY COAST.;BKF;367;Cyperus distans;Cyperaceae;Angiosperm;wfo-0000372020;species;Accepted;L.f.;TRUE
Cyperaceae;Cyperus javanicus;Houtt.;C.Charoenphol 5034;102,230000000000;11,4800000000000;NA;1970-11-19;NA;BKF;368;Cyperus javanicus;Cyperaceae;Angiosperm;wfo-0000375604;species;Accepted;Houtt.;TRUE
Cyperaceae;Cyperus;NA;C.Niyomdham 3198;NA;NA;NA;1992-09-04;NA;BKF;369;Cyperus;Cyperaceae;Angiosperm;wfo-4000010449;genus;Accepted;L.;TRUE
Cyperaceae;Eleocharis chaetaria;R. & S.;Thai-DanishBotanicalStudies 7136;NA;NA;NA;1959-04-03;NA;BKF;370;Eleocharis retroflexa subsp. chaetaria;Cyperaceae;Angiosperm;wfo-0000405878;subspecies;Accepted;(Roem. & Schult.) T.Koyama;TRUE
